东西挺好用，小巧精致，携带方便04.15
好评 用起来很舒服04.21
目前用着不错，以后再来追评。04.20
送给父亲的，放在车里比较方便，电力还可以，我父亲胡子不是很硬。刮的还挺干净的。04.23
小巧便携，好用04.12
还没用。看上去很不错呢04.09
小巧，方便04.11
"宝贝做工精致，物超所值,快递迅捷,服务热情,五星好评。03.28"
质量还行，声音可以接受，好评！04.01
非常好用，出差使用方便，值得拥有。04.03
颜值很高，是否好用我还真不知道03.28
很好的，大学时就用过一个04.04
小巧，出门方便04.03
可以好用
宝贝与描述一致，很好，给老公买的，今天才拿到货，不知道好不好用。04.05
颜值高，我是女的，不知道是否好用03.29
小而美，只用了一次。持续使用中。04.16
包装很细心，宝贝也很好，物有所值03.20
不错，满意03.31
小巧精致，外出携带很方便，不错。03.14
物流快服务好，货是正品质量好，做工精，非常好使。03.20
商品：发货速度够快，东西不错，好用，有需要还会再来的服务：服务也很好03.22
给爸爸买的，很方便！活动时候很划算！！！！！！！03.17
小巧玲珑，方便03.17
包装很好，但是感觉充电的劲没有电池的有劲儿，原来电池的比这个要好。04.01
在店里看过实物 黑金色好赞~ 飞利浦的电器经常买还是很靠谱的 老公用了也刮的很干净~ 他其实一直不爱用电动的…说没有手动的刮的干净…这次就很满意啦 做活动价格也很好~满意满意满意满意满意满意满意满意满意满意满意，02.21
物流很快，五星好评。03.26
给男朋友卖的情人节礼物……特地在天猫国际购买的，官方比较放心呢，男朋友用了一段时间，很喜欢！很满意！小巧方便这大概，推荐大家购买……（本来想买银色的，后来没货了排了黑色的，后来越看越喜欢黑色的了）
东西还不错，客服很耐心03.25
老爹自己挑的 充电很方便 他很喜欢02.14
质量干脆不行，充电两天了，电机转速慢腾腾的，和我06年买的相比就是个假货，现在还一直用那个呢，电机嗷嗷叫
。老公说刮肉，用着不好，今天去专柜买了个新的，价格差很多。柜姐说这款银色的五六年前就没有了而且没有充电的只有安电池的！感觉不会再爱
非常满意02.19
非常满意、包装仔细、产品小巧精致、试用了一下很好用、方便携带、总之很满意……01.17
天猫说假一罚十!包装盒上有中国制造!他们说可以在中国生产，他们不承是假一罚十！原装应该是荷兰制造！没有办法，天猫势力大，我们挣理没有用!
小巧玲珑，便于携带；充电方便。包装很讲究。希望耐用一些。01.16
出差刚回来，确认晚了。非常好用，剃须刀质量很好，声音非常小，五星好评！01.21
比淘宝店还便宜，小巧可爱，包装很严谨，老公用了几天满意。01.15
希望质量不错，给别人买的，旅游便携01.26
好好，很不错的。01.17
送老公的生日礼物，还没用，看着不错01.22
不错，小巧轻便，方便携带01.30
剃须刀非常好，内包装太差，都没有5O元剃须刀盒好
携带方便。好用01.18
精美，正品，我喜欢！01.18
正品，比我原先在零售店面买的还便宜，会时刻关注小店的商品01.18
非常好合适01.29
永恒经典01.28
给老爸买的，挺好01.20
包装精美，快递给力，没说的五分好评01.28
女童家里咯发来咯两手空空抹额咯01.29
据说还不错，简单实用！01.30
手感太轻01.16
宝贝收到了，包装很好。👍01.19
一切OK！01.18
老板说好用～
我爸挺喜欢的，不错02.02
很小巧带着方便，就是没有大的刮的干净。不防水只能用毛刷。懒人有点尴尬03.29
外型小巧，就是开关太难开了03.24
。噪声太大，后悔
快递已经签收了，收到货啦！01.22
全塑料，手感一般，做工一般，都很一般
剛剛拿到手，還沒有用，看著真的很棒。04.21
已多次购买送朋友，轻便精致、物美价廉，必须五星01.13
很不错的一次购物，东西质量也好，很舒服01.12
电机声音非常大。至于别人都反应的电池喜欢出问题，由于刚用，还无法评价01.21
小巧玲珑，瘦的男生还是挺好用的01.12
出差中，家人代收的，应该没有什么问题吧，先好评！01.04
小巧玲珑，是我喜欢的款式01.12
包装很好，具体使用起来怎么样还不知道2018.12.28
我用的特别好，看别人评论不知道是故意重伤还是干嘛，相信我大胆的买，不然吃亏的是自己呀，天猫国际买过10多样东西啦，都是正品，后悔没有早点遇见天猫国际呀，不然能省我好大一笔钱啊！！！
很好看 用了一下很舒服 希望耐用01.07
老爸很满意，用着也很顺手，真不真就不清楚了01.13
老公喜欢01.11
东西不错01.04
嘿嘿，送人用的~很喜欢01.13
非常好用，小巧便携，出差必备佳品。买过小米的，试了一下就退货了，剃须刀还是要买飞利浦。2018.12.28
挺好啊！小巧玲珑。01.15
宝贝十分精至，喜欢01.11
是正品，质量很好
这款剃须刀握在手里时很合掌，符合人体工程学，剃须的时候刀片接触皮肤光滑柔顺，无丝毫毛刺感，用着舒服。2018.12.29
买了一天就出现问题，我怀疑是不是正品
充电和手机一样的接口，这下非常方便了。01.12
声音有点大，质量没以前专柜买的好！02.23
。
不错，物流很快。03.11
初次评价:02.23很一般 充电一天用了一下 电机一点劲都没有 就像快没电一样 ？感觉
"怎么没以前的好，包装不一样;一 , …"
初次评价:01.19一个星也不想给，充满电才用十几分钟就没电了，声音也怪，跟第一次充满电的时候完全不一样，跟客服解释了几次还让拍视频才说会72小时内反馈，这都快过年了，等个72小时怕是快递都要停运了吧，在天猫买东西就是图有个保障，产品有问题这么难解决，跟京东的售后相比还
没用几天就有故障
东西收到了，声音还是有点响，刮起来感觉没有那么有力，但整体还算满意吧。01.19
收到宝贝了。还没有用，看样子挺好的2018.12.30
很小，不怎么上档次。出差方便
从包装盒上看，好像和我对品牌的认知不太一样01.21
非常一般 马力不足 斜刀头设计不好用 质感很差 不如80几的好用
满意，就是物流好像慢了一点。01.23
初次评价:01.15物非所值，差了。收货当天追加：上面保护的薄膜去掉后还不错。
很差，糊子刮不干净，还不让退，大家千万别买，买了就是上当受骗的。
不支持退货。
初次评价:01.25用着不错，飞利浦的东
除了价格贵，其他都还好吧。习惯好评吧
初次评价:01.28非常差的一次购物，有被
不是很好，刮也刮不干净，又贵。
垃圾，不是进口的，是中国制造
速度很快看起来还好，01.15
不知道你们要赔什么？01.12
还可以吧。小巧玲玲。01.11
东西一般
宝贝收到后用了几天才评价，宝贝精致，包装很美观，便于携带，用起来很锋利很舒服很好用04.28
正常使用，挺好的，好评04.28
小巧便携，好用今天
老公很喜欢04.28
。一直出差，现在才来评价。首先肯定颜值，真的超出同类产品一大截，可以直接链接手机充电头充电，舒服度Max，总之是一次特别满意的购物，唯一小瑕疵就是不能水洗，希望早日能应用到便携式上。
01.21
非常满意
