不错，已经送礼了，分量很足，很好03.30口味：【10种特产礼盒共1995g】
初次评价:04.06从来没有见过这种不讲信用的商家。本来就是个小事情。我买了十种这个种类的产品。本来想着开箱看一下是那些东西。结果发现少了一种。我就问商家是不是少发了。结果各种推脱 说他们没少发 合着就是我眼神不好呗？那么小的箱子我找不到那一件物品吗？还是你觉得我有必要因为几块钱的东西去诬陷你？你们都是对的 买家是错的。从头到尾你有一句道歉吗？各种不是你们的问题。都是我的错。谁让瞎眼买你家东西呢。请各位大家千万不要买这家店的产品。不怕遭报应？附带聊天截图 大家看看你们遇上这种事情什么感觉。不稀罕你那几块钱的东西。你们的问题你承认就是了。我稀罕你那几块钱的东西？道歉有多难？差评投诉 店铺收货当天追加：大家自己看看最后连回复都不敢回复了。全程一点没认识到自己店铺的问题。没讲过这么无良的商家。一共就寄过来一个箱子。我拆开看了就差了一个所谓的五香豆。本来小事一件。你们哪怕道歉我也觉得无所谓。各种理由还让我自己去找 找箱子的其他地方有没有。呵呵。垃圾垃圾垃圾。大家千万不要上当了。无良商家！口味：【10种特产礼盒共1995g】
。难吃还贵口味：【10种特产礼盒共1995g】
特产就这样吧，味道不是想象的好吃。04.13口味：【10种特产礼盒共1995g】
应该还不错 送人的 物流超级快 服务也很好03.10口味：【10种特产礼盒共1995g】
代朋友买的！具说挺不错的的！有钱了咱也来一箱！03.04口味：【10种特产礼盒共1995g】
东西不错，买了两盒来送人的，要求催快递赶时间，时间正好，感谢老板！盒子包装用来送人也体面。03.05口味：【10种特产礼盒共1995g】
女朋友说可以03.03口味：【9种特产礼盒共2079g】
收到了特产，包装好看，里面的品种齐全，质量好，都有小包装，非常好，买了送人能拿出手，太棒了。与图片相符，非常满意的一次购物，五分好评！01.27口味：【10种特产礼盒共1995g】
质量特别好！很喜欢！！！！！！！2018.11.12口味：【9种特产礼盒】共计2079g
东西收到了非常不错啊份量很足，送人真的很棒，价格也合理，物流也是空运，唯一不足的是外包装盒有一点受损了。01.21口味：【9种特产礼盒共2079g】
东西收到了，外包装很好。送亲戚的，等他们吃过再来追评01.28口味：【10种特产礼盒共1995g】
品种多，保质期长，口味好，甜腻的品种少，老少皆宜！02.11口味：【10种特产礼盒共1995g】
上海特产零食口味很棒，给家里买的，家人很喜欢吃，好评01.17口味：【10种特产礼盒共1995g】
产品选择、搭配、内容都很有新意，可以给予点赞01.26口味：【10种特产礼盒共1995g】
多次购买了，送朋友的过年礼物🎁01.27口味：【9种特产礼盒共2079g】
送给亲戚朋友是个不错的选择01.19口味：【10种特产礼盒共1995g】
发货迅速，外观不错，送人不宜拆开验证，估计错不了。满意!01.28口味：【9种特产礼盒共2079g】
收到了邮给父母的物流很快不错了01.16口味：【10种特产礼盒共1995g】
好，留着春节拜年用。01.28口味：【9种特产礼盒共2079g】
包装大气01.14口味：【9种特产礼盒共2079g】
品质很好，种类多，很好吃2018.12.30口味：【10种特产礼盒共1995g】
质量很好，打算在买别的款2018.12.27口味：【9种特产礼盒共2079g】
商品：快递快质量好服务：服务好2018.12.10口味：【10种特产礼盒共1995g】
"第三次买了,很实惠的礼包2018.12.18口味：【10种特产礼盒共1995g】"
老字号，很满意。2018.12.19口味：【10种特产礼盒共1995g】
挺好的，给家人买的2018.12.17口味：【9种特产礼盒共2079g】
很好的，谢谢，客服也好，送人很好2018.12.28口味：【9种特产礼盒共2079g】
。过年前买的，这袋标着2018年12月5日生产的，今天19年2日17日打开全发綠了。是苔条豆瓣本色还是长霉？才2亇半月70来天，保质期多少天啊？口味：【10种特产礼盒共1995g】
两包大礼盒，东西真丰富，包装也很精致，很上档次，是送亲友的佳品！2018.11.21口味：【10种特产礼盒共1995g】
挺好的2018.11.12口味：【10种特产礼盒】共1995g
商品：货真价实！服务：服务良好！2018.11.07口味：【10种特产礼盒共1995g】
太次了 真是难吃 这样的东西送礼 还不如不送 ！02.10口味：【10种特产礼盒共1995g】
样式很多，味道很好2018.11.16口味：【10种特产礼盒共1995g】
买来送人的，包装很大气2018.12.10口味：【10种特产礼盒共1995g】
东西不错2018.11.11口味：【10种特产礼盒共1995g】
