味道酸酸甜甜的，很好吃，效果看不出来，图个心理安慰。05.01
好吃！酸甜可口，会长期服用，期待效果。05.03
味道和我之前找代购买的一模一样，高兴，最划算的保健品04.22
味道酸酸甜甜很喜欢，看同事吃太香了忍不住买的，
一如既往的好吃，很喜欢这款软糖的味道。希望它能让我完几年变成秃子。05.03
。很满意。又推荐朋友前来购买。活动促销活动购买。价格很美丽。
做活动买的，挺划算的，吃完继续回购04.29
这个我觉得特别的好，服务好又合算，推荐05.02
好吃停不下来05.03
跟我在代购买的一样，口感也一样，好吃，活动买的，超实惠！天猫国际信耐！
还是天猫国际让人放心，价格实惠很都是真的，不用到找代购心惊胆战的了04.30
。。挺好吃的 有没有效还不清楚，可以，好吃，刚吃，希望有效果，味道酸酸甜甜的，很好吃，效果看不出来，图个心理安慰。，好，
蛮好吃的，希望有用05.03
刚吃，希望有效果05.01
味道很好吃04.30
很好，活动买的，希望有效果哈04.30
自营的。希望是正品04.28
非常完美非常完美，太好了，04.29
发货跟物流都很快的，价格实惠，物美价廉！05.02
刚收到，吃一段时间再来评价...
不错，长期吃有效果04.30
好大一瓶，拿到就吃了三颗，好吃，希望能对皮肤有帮助04.22
很好吃啊，忍不住要多吃几个04.28
味道很好吃，很大一瓶，活动价买的实惠，好评04.16
可以，好吃05.01
聚划算第二瓶半价，88vip折扣后是236两瓶，118一瓶，这个很好吃每次都忍不住多吃几粒04.29
好吃，当糖吃哈哈哈04.24
好吃，推荐04.27
看见同事吃，我也买来试试，期待有好的效果04.16
一直吃这个 味道不错04.23
像糖一样04.25
很好吃，希望能补充胶原蛋白，当糖吃了，忍不住多吃04.16
刚拿到，一大瓶，吃了见效果再评价，物流快04.23
还行吧，相信天猫直营04.23
很棒，挺好吃的软糖04.26
软软的qq 糖的感觉。坚持吧04.24
好吃，哈哈，真的好吃，胶皮软糖似的。有没有用就不知道啦。很大一桶。一天吃俩估计得吃好久。04.18
挺好的 希望有效04.24
味道好，吃着香香的，酸酸甜甜的，吃了有10天了，没什么变化，估计等我吃完这两大瓶才有效果吧，到时候再来评价04.25
活动买的 价格还合算 酸酸甜甜的好吃 和以前买的味道一样04.20
好评，物有所值，正品，发货快04.22
蛮好吃 坚持吃呀04.17
不吃，挺值的04.23
太甜了，特别甜。但是确实很好吃。
很快就到啦😄比代购划算，味道比胶原蛋白粉更容易接受，有坚持下去的理由啦04.15
感觉两瓶好多！235.5买的，现在想出一瓶130包邮有没有人要哇~偏远不包~04.22
坚持服用，期待效果！五星好评先！04.20
好吃，一吃就停不下来！04.25
味道很好，吃了指甲比之前硬了04.19
挺好吃的，期待效果！04.16
味道很好，就是有点太甜满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意04.09
超级大一罐，挺好吃的，不过含量很低，别指望有很明显的效果。。。单纯吃个心里安慰而已
发货速度很快，包装不错，吃了几粒，味道不错04.16
好大一瓶，口感Q弹，很浓重的草莓的味道，味道有点点奇特，不知道有没有用，吃吃看吧！！05.01
两大罐，慢慢吃吧。吃了几天，口感挺好，当小零食吃不错，其他没了( ˘•ω•˘ )04.17
很不错 很好吃很棒...04.16
很好吃 会回购04.21
刚开始吃，希望有效果吧。04.24
甜甜的很像QQ糖04.19
味道不错，好吃04.18
买买买，不方便出门生活所需基本靠淘宝，发货速度非常快，包装非常仔细、严实，价格也实惠，非常的划算，性价比高，产品描述与实物一致，很满意，物流公司服务态度很好，而且还送到楼上，运送速度很快，很满意的一次购物！04.15
挺好吃的，味道不错。04.10
快递很快，这个很Q弹，味道草莓味的，酸甜的。很好吃，每次吃两颗，效果不知道坚持下去有没有，当糖吃也行04.20
正品 好吃 下次再来04.12
份量很大，包装很好，有防伪验证码，还是放心天猫官方直营产品。04.05
看上很久了，终于下手买了，253.了买了两瓶，吃着酸酸的，有点像qq糖，等我一瓶吃完来追评04.24
味道还不错，效果还在观望中04.12
好好吃啊！希望有效果吧经常做美甲指甲都比较软04.14
特别好吃，跟QQ糖一样！哈哈～还特意跟家里人打了招呼说是保健品不是糖别给我吃了。04.23
软糖很好吃，期待有效果04.13
给老妈买的，她很满意04.04
质感比以前吃的软，口感偏酸，颜色也变浅了，不过总体来说味道还是不错的。05.01
不错，好吃，对皮肤头发有好处04.07
好大一盒！包装漂亮，很满意04.13
货好价实，送货快捷，一次满意的购物体验。04.10
初次评价:04.14挺好吃的，等看效果。挺好吃的
。草莓味好吃……当糖
好吃，不知道有没有维C和那些作用。当零食也是不错的04.11
初次评价:04.07和糖一样的哈哈收货当天追加：好吃的软糖嘻嘻
天天吃 希望有效果04.09
就当吃糖了，效果看不出来，每天4粒当糖果解馋用的。04.14
酸酸甜甜的，味道不错。04.10
特别好，如果有活动会一直回购04.12
挺好吃的 很好 👍 坚持吃完04.08
挺好的，味道也不错04.15
就当糖吃了，软糖，还挺好吃的。04.11
像扣扣糖，挺好的04.14
超大的一瓶 俩瓶入手228 价格不要太划算呀04.14
发货快，超好，吃完再来04.09
软软qq的 超好吃的感觉 爱了 比nature’s way的软多了
第一次买，有没有效果还不知道，但这个味道超级好吃！很容易吃多！真的！QQ糖一样！很有嚼劲儿，味道也超级水果糖！妈呀！它太好吃了！真的很容易一不小心吃多颗！04.14
先买一瓶试试04.05
糖的口感蛮好的 效果怎么样还不知道 先坚持吃一段时间04.07
超大一瓶！！真的有用！皮肤会变嫩嫩滑滑的，指甲和头发我还没看出啥来。
活动价格买的还挺合适，不过还没吃，吃完再评价吧04.10
被代购种草的，后来看天猫搞活动就买来试试，很大一罐，感觉可以吃很久，期待效果03.24
包装可以，但是盖子坏了，旋不开，结过要暴力打开盖子才能试试，味道酸酸的，还可以，坚持一段时间看看效果！
查的应该是正品。吃起来草莓口味，很好入口，一天两颗真的不够，真想一直吃吃吃03.30
做活动的时候真的非常划算，不知道效果好不好，但是味道还不错，算算甜甜的，就和QQ糖味道差不多，希望效果也不错，希望卖家继续保持，越做越好(✪▽✪)希望效果和别人说的一样😊～～～～～～～～～～～～04.10
发货速度快，希望能有效果04.15
刚好遇上活动价格优惠囤货够吃上一年了03.26
好好吃，甜甜的，希望有效果04.01
软软的像软糖一样 我觉得自己控制不住啊 一直吃的哈哈哈 不知道效果怎么样反正一直吃停不下来03.18
赶上活动啦！！！超开心买了两瓶比原价便宜差不多二百块！！！到的好快！！！太好吃了！！！吃一段时间看看效果！！！(๑•́ωก̀๑)04.14
吃了一段时间，感觉还需要一点时间才能见效8 好吃还是蛮好吃的哈哈当零食也还行04.02
打开尝了两粒感觉还不错 得坚持吃才会有效果吧 慢慢来04.01
商品：第一次吃 活动时候买很划算 期待两瓶吃完有效果服务：很满意
好大一瓶，看着还不错，各种防伪码，验证码齐全，应该是正品，期待效果，好的话，就不用从国外带回来了天猫直营应该放心吧03.27
很好吃，希望吃了能对我的脱发有所帮助……小白兔俗称兔子，是哺乳类兔形目，草食性脊椎动物。为幼小的白色的兔子。因为比较可爱，常出现在儿歌和冷笑话当中。 小白兔因其胆小，机敏，素食，可爱，易保持清洁，幼兔应食苜蓿草，提摩西草，兔粮和凉白开，成兔可在原有饮食上适当喂食蔬果。少有攻击性，成为人类最喜欢饲养的宠物之一，也是最常见的种类之一。家养。03.17
好吃，草莓味的，跟QQ糖一样，配合葡萄籽和蔓越莓吃的，坚持
软糖，很好吃03.30
水果味道，很好入口，希望持续食用能有效果03.22
查了上面的码，都有来源。味道酸酸甜甜，很好吃，一口气就吃了几个，还分享给家里人吃了，吃一段时间后看看效果咋样03.29
味道还不错，效果要过段时间才知03.21
效果不知道呢，味道很好吃，总忍不住想多吃03.21
已开始吃，糖果味，但愿有效果03.24
朋友推荐 试试效果03.25
甜甜的软糖好吃03.24
不错 好吃03.28
挺好吃的，效果暂时看不出来03.27
不错，3.8买的，实惠，一大瓶03.18
挺好 正品 发货快03.19
感觉有效果03.30
这个真的超级大一罐！！ 两罐感觉可以吃到地久天长了。 酸酸甜甜味道不错，忍不住想多吃！ 快递也巨快！03.23
很好吃，QQ糖一样04.01
口味还挺好 甜甜的04.03
物流超快，隔天就到货，味道不错03.17
。吃了没啥效果，当糖吃了
包装很好，希望有效果03.20
很快就收到货了，第一次吃也是第一次买，感觉还不错，酸酸甜甜很好吃，但是不知道没什么建议吃完饭吃。平时很少吃保健品，最近在减肥，食物摄入量少了，担心营养不良，所以买来试一试，也没什么坏处
比DG还便宜，口味很好吃，吃了半个月了，我是觉得掉发有改善。。坚持下去吧，真的不难，，这个很好吃啊03.25
包装挺好的，38囤着，以前都是代购买，这次试试天猫国际直营，比代购便宜04.02
蛮好的，朋友推荐的，赞。03.26
酸酸甜甜很好吃03.27
特别好吃的软糖。03.30
好吃！味道不错03.29
还蛮好吃的04.02
太好吃了！03.23
吃起来味道还不错，不过一打开香精味有点重，之前没有吃过这款所以没发对比，不知道真的还是假的，希望长期吃有用吧04.23
当QQ糖吃，不错。03.29
包装很好，打开盖子有微微的酒味，我打开就放在冰箱了，每次吃两粒，期待对指甲有改善03.18
物流慢了点，吃吃看，有用继续买
物流很快，像糖一样，很好吃04.01
不错 拿来当零嘴04.03
小瓶卖完了，发现有大瓶，真划算，太好了。03.08
刚拿回来捧着吃了六七个了。。。停不下来，比qq糖好吃。。。。04.23
希望有用，香香的03.12
老婆坚持天天服用，看一段时间，有没有效果吧。04.10
味道很好，就是盖子超级难开05.02
最近这一段时间指甲，头发，皮肤都不好，朋友说这个还可以，不过不能当成药品来吃，辅助嘛，早晚两次，随餐吃，味道还蛮好吃的，有点QQ软糖的感觉，好大一瓶，不过如果要想身体好，饮食有规律，作息有规律，指甲短断，也是因为前一段时间，做美甲的后遗症，以后还是不要做了，对身体真心不好03.19
还阔以03.12
很好，活动买的两罐。合下来80多一罐。草莓味特别香，好吃03.13
口感不错，吃起来方便快捷，期待效果03.14
好吃，好吃，看小红书来买的 指甲一直都容易断，吃吃看，冲味道就能回购的那种🤣 直营的应该真吧，我也没查 真的好吃03.11
不错，很大一瓶03.13
味道还不错，期待效果03.11
挺好吃的 跟我在朋友家吃的口味一样。。希望有效果吃的美美的健康03.04
。酸酸甜甜很好吃，不过这个添加剂应该很多，气味闻上去太诱人了。吐槽这个盖子，真的真的超级难开的一匹啊！压下去扭动的时候要卡住点，不然会滑掉！！很难开的！开的当时手都疼了！这么废的开盒方式不愧是西方人做的出来的！
好吃 方便 很喜欢03.10
酸酸甜甜的，有点像旺仔QQ糖，会不自觉的想吃，想零食一样，一样真的能补充胶原蛋白
这款软糖不硬、而且草莓味挺香，也不是很甜03.30
还可以吧 希望有效果 接着吃两瓶先03.11
大瓶的很划算03.12
超大一瓶，味道没有很甜，还不错
味道不错03.10
味道很好03.12
价格美丽，物流快，美味，忍不住多吃03.15
还不错，第二次买了，樱桃那个吃了没在做梦，睡眠质量改善，就期待头发指甲护理这款有效果啦03.11
吃起来很方便，也很好吃。03.11
吃了一瓶了，这次买的好像味道嚼劲不同了03.26
吃起来味道还可以，跟QQ糖似的，有没有用就另说了。04.23
特别好吃，都说这个补充不好，但是我主要就是想让头发指甲什么的没那么脆弱，没啥别的要求~真哒~这是一个好评模版，因为本仙女很懒，不想每个产品都写好评，特地模仿某个网友写下模版，但是这个产品无论是质量还是外形肯定都是本仙女喜欢的，如果不喜欢的话，本仙女收到东西会很生气然后这个模版变成本仙女喋喋不休的抱怨书，自然不可能撒下这个好评模板，这里写下，也就是给各位淘友一个参考，这个物品还是值得购买的，来自一个懒惰的只爱购物不爱写评语又想要积分的仙女~
期待效果04.30
期待效果05.02
看评价说炒鸡好吃，所以买了两件，巨后悔，对我来说酸，而且有股味道。哎！！
QQ糖，希望有效果。03.12
很大一瓶03.30
吃法那里跟我之前买的写的不太一样，但是天猫国际直营店应该是正品吧
挺好吃的 有没有效还不清楚05.01
验证了，正品无疑。第一次天猫国际直营买保健品，还心存芥蒂，以后可以放心买啦！两大罐，可以吃好久喽
挺好吃的，像QQ糖，也不知道有没有用03.30
蛮好的 以前就吃过 发货挺快的 酸酸甜甜草莓味嘻嘻嘻
值得拥有，跟美国购买的一样，相信自营01.28
是大盒子子，里面是红色的QQ糖的口感，觉得还可以，但是我没注意撒了一大半，心疼啊！04.03
天呐！味道也太好了吧。。每天都要吃好多好多颗。。吃多了不会有什么问题吧（流泪脸）03.13
快递物流很快包装得也很严实，这个软糖味道超好吃啊，有时候没控制住多吃几颗哈哈，好评好评02.05
挺好吃的，刚开始吃，效果暂时看不出来01.23
口感不错，已经吃了半瓶了，效果暂时没看到01.27
给妈妈买的，还行吧02.01
终于买到了，酸酸甜甜，期待效果。01.28
口味很好，当软糖吃01.23
很好很划算01.22
非常好吃，酸酸甜甜软软糯糯的，就想当糖吃了01.24
每天都有坚持吃，有所改善吧01.29
很好吃的胶原蛋白02.15
扫码验证为正品，而且尝起来味道和朋友带回来的一样～冬天买完全不用担心会粘起来哦2018.12.24
